NAMES
Aruna
Samantha
Ananda
Asela
Nihal
Amal
Akila
Shan
Ayesha
Nayana
Chandra
Priyanka
Anjana
Nirmala
Priya
Pushpa
Nayomi
Anne
Asha
Manel
Shalini
Raja
Daya
Sharmila
Amanda
Manju
Thamara
Noel
Natasha
Malika
Nisha
Ann
Padma
Francis
Mary
Madhu
Christine
Christy
Melani
Michelle
Diana
Tania
Anjali
Manisha
Sarah
Deepa
Rochelle
Sharon
Indira
Krishna
Indra
Sara
Sandra
Shirley
Ranjit
Tamara
Zainab
Angela
Jaya
Marie
Leslie
Charmaine
Marina
Siri
Yasmin
Anna
Andrea
Uma
Rizwana
Melissa
Marian
Ilham
Amara
Joy
Jennifer
Maria
Malin
Maya
Samira
Natalie
Anju
Susan
Yvonne
Melanie
Christina
Dan
Selva
Judy
Noor
Dennis
Sandeep
Riza
Rehana
Usha
Sena
Jana
Rebecca
Hafsa
Rose
Amani
Jean
Aysha
Judith
Helen
Robin
Rayan
Linda
Nadira
Deva
Ikram
Dharma
Sherin
Karen
Rani
Monica
Sana
Asma
Jessica
Randi
Sydney
Sabrina
Maureen
Claude
Ashley
Monika
Shiva
Rita
Anita
Insaf
Ihsan
Sayuri
Farzana
Badra
Azra
Shannon
Shara
Ramona
Zahra
Chan
Renu
Mariyam
Hasna
Fiona
Ruth
Patricia
Salma
Hanifa
Sally
Tanya
Stephanie
Therese
Grace
Denis
Zahara
Hana
Suman
Amma
Roshni
Isha
Afra
Sandy
Sanja
Dona
Cheryl
Aisha
Erin
Pearl
Carmel
Jenny
Aloma
Lisa
Tina
Hilary
Naomi
Stella
Shakira
Hillary
Kim
Rekha
Jacqueline
Cynthia
Divya
Kamila
Ingrid
Veena
Pat
Veronica
Mayumi
Sheila
Elizabeth
Masha
Farhana
Fatima
Rachel
Sanda
Vanessa
Annie
Mariam
Jane
Aman
Danny
Florence
Anush
Amaya
Jasmin
Lesley
Shana
Barbara
Nicola
Bernadette
Farah
Kiran
Nathali
Tracy
Nana
Lesly
Samara
Mama
Josephine
Priscilla
Pamela
Nisa
Joyce
Evangeline
Shamara
Geraldine
Silva
Bushra
Carmen
Maha
Lorraine
Sue
Jasmine
Sapna
Doreen
Maryam
Naseem
Rosemary
Shabnam
Tara
Ruby
Janice
Soraya
Amy
Dale
Arlene
Nila
Kate
Virginia
Julie
Irani
Daisy
Gillian
Esther
Bianca
Mirza
Nada
Mercy
Wendy
Irene
Safa
Catherine
Sama
Ana
Dawn
Louise
Suzanne
Ilma
Olivia
Pooja
Farha
Lara
Nira
Julia
Eva
Joanna
Riham
Emma
Nadia
Sasha
Pauline
Sonia
Meena
Laura
Daphne
Felicia
Princess
Mariya
Sylvia
Devi
Sihan
Dayana
Ivon
Janet
Imara
Ara
Shahnaz
Rosita
Rana
Sheela
Marlene
Agnes
Salome
Olga
Dana
Vicky
Angeline
June
Natalia
Haja
Mel
Rasha
Lydia
Rama
Diyana
Leonie
Michele
Antoinette
Leena
Loretta
Roma
Thais
Angelina
Veronika
Sheryl
Amna
Nasrin
Nancy
Nathalie
Diane
Marianne
Jamila
Saba
Lourdes
Margaret
Fatema
Miriam
Joan
Clare
Nina
Rosa
Deborah
Claudia
Angie
Reena
Marion
Min
Fahima
Edna
